row_id,order_id,order_date,ship_date,ship_mode,customer_id,product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost,order_priority,vendor_code
34541,CA-2014-113355,2014-12-02,2014-12-06,Standard Class,SJ-20215,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,317.058,3,0.3,-18.1176,47.18,High,VE_003
38453,CA-2014-126718,2014-04-30,2014-05-05,Standard Class,KT-16480,OFF-LA-10004055,Office Supplies,Labels,Color-Coded Legal Exhibit Labels,4.91,1,0,2.4059,0.22,Medium,VE_016
6280,MX-2013-158841,2013-09-19,2013-09-25,Standard Class,PO-18865,OFF-BI-10000232,Office Supplies,Binders,"Ibico 3-Hole Punch, Durable",51.12,3,0.2,10.2,3.96,Medium,VE_006
18706,ES-2012-5053352,2012-02-08,2012-02-08,Same Day,JM-15865,FUR-FU-10002979,Furniture,Furnishings,"Eldon Frame, Black",465,4,0,130.2,139.08,Critical,VE_029
35673,CA-2011-166954,2011-04-25,2011-04-30,Standard Class,BT-11305,OFF-AP-10001391,Office Supplies,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,270.72,3,0,78.5088,45.48,High,VE_016
14090,ES-2014-1631439,2014-11-11,2014-11-16,Standard Class,TC-21145,OFF-ST-10001255,Office Supplies,Storage,"Fellowes Trays, Single Width",103.356,2,0.1,45.936,10.2,High,VE_017
42150,RS-2011-2280,2011-03-30,2011-04-02,First Class,AR-345,OFF-FEL-10001630,Office Supplies,Storage,"Fellowes Lockers, Industrial",415.62,2,0,182.82,31,High,VE_035
1747,MX-2014-108000,2014-10-16,2014-10-21,Standard Class,GZ-14545,OFF-BI-10003372,Office Supplies,Binders,"Ibico Binding Machine, Durable",282.24,8,0,2.72,12.41,Medium,VE_005
1681,MX-2012-133137,2012-07-02,2012-07-06,Standard Class,KC-16675,OFF-AR-10003758,Office Supplies,Art,"Binney & Smith Canvas, Water Color",109.08,3,0,8.7,8.59,Medium,VE_005
27114,IN-2012-75428,2012-08-29,2012-08-30,First Class,SN-20710,FUR-CH-10002213,Furniture,Chairs,"Hon Executive Leather Armchair, Black",822.852,2,0.1,-0.048,137.04,High,VE_023
49757,TU-2014-8880,2014-06-04,2014-06-07,First Class,GR-4560,OFF-AVE-10004312,Office Supplies,Binders,"Avery Index Tab, Clear",2.532,1,0.6,-3.558,0.61,Critical,VE_047
15615,ES-2013-1162185,2013-04-20,2013-04-20,Same Day,SD-20485,OFF-ST-10002159,Office Supplies,Storage,"Fellowes Lockers, Wire Frame",371.52,2,0.1,144.48,88.32,Medium,VE_018
20072,ES-2014-5705147,2014-07-30,2014-08-04,Standard Class,DJ-13420,OFF-AR-10002037,Office Supplies,Art,"Stanley Sketch Pad, Fluorescent",137.07,3,0,21.87,4.3,Medium,VE_018
43591,SF-2013-8920,2013-04-29,2013-04-30,First Class,JB-5400,FUR-NOV-10002333,Furniture,Chairs,"Novimex Steel Folding Chair, Black",319.2,4,0,54.24,82.5,Critical,VE_061
47361,TU-2012-1410,2012-05-15,2012-05-21,Standard Class,PB-9150,OFF-TEN-10000703,Office Supplies,Storage,"Tenex Trays, Blue",43.368,2,0.6,-42.312,1.69,Medium,VE_047
35452,CA-2013-139689,2013-12-30,2014-01-04,Standard Class,MP-17965,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,2.808,3,0.7,-1.9656,0.24,Medium,VE_001
2684,US-2013-115756,2013-11-01,2013-11-05,Standard Class,JK-16120,OFF-PA-10000915,Office Supplies,Paper,"Eaton Note Cards, 8.5 x 11",42.384,4,0.4,-19.136,5.32,High,VE_001
8464,MX-2014-143546,2014-12-11,2014-12-11,Same Day,MH-18025,TEC-PH-10003932,Technology,Phones,"Apple Audio Dock, VoIP",556.6,5,0,22.2,134.58,Critical,VE_008
26449,IN-2013-18980,2013-08-16,2013-08-23,Standard Class,SM-20905,OFF-BI-10001200,Office Supplies,Binders,"Avery Binder, Durable",48.96,4,0.15,-4.68,8.94,Low,VE_034
17859,ES-2013-3297532,2013-12-23,2013-12-28,Second Class,QJ-19255,FUR-CH-10000423,Furniture,Chairs,"Hon Chairmat, Set of Two",288.9,5,0,63.45,22.09,Medium,VE_028
12865,ES-2014-4358524,2014-10-02,2014-10-06,Standard Class,Dp-13240,TEC-CO-10002673,Technology,Copiers,"Brother Fax and Copier, Laser",574.47,3,0,143.55,52.57,Medium,VE_011
37384,CA-2012-114048,2012-12-14,2012-12-18,Standard Class,EH-13945,FUR-FU-10004351,Furniture,Furnishings,Staples,29.22,3,0,12.8568,2.44,Medium,VE_012
48126,CG-2014-1140,2014-02-04,2014-02-07,Second Class,BO-1425,OFF-BOS-10003699,Office Supplies,Art,"Boston Sketch Pad, Fluorescent",99.72,2,0,0,8.4,High,VE_026
4839,US-2012-100930,2012-09-05,2012-09-10,Second Class,SV-20365,OFF-EN-10004988,Office Supplies,Envelopes,"Cameo Mailers, Set of 50",30.528,2,0.4,-8.672,5.2,High,VE_006
36921,CA-2013-121748,2013-10-25,2013-10-29,Second Class,VW-21775,TEC-AC-10002637,Technology,Accessories,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),359.98,2,0,21.5988,15.17,Medium,VE_007
26830,IN-2014-24902,2014-09-16,2014-09-20,Standard Class,AJ-10945,OFF-EN-10004590,Office Supplies,Envelopes,"Ames Peel and Seal, with clear poly window",80.028,4,0.1,14.148,3.46,Medium,VE_037
257,MX-2012-100503,2012-08-03,2012-08-05,First Class,LB-16735,TEC-CO-10001824,Technology,Copiers,"Sharp Personal Copier, Color",161.59616,2,0.002,30.43616,23.56,High,VE_011
47450,IR-2014-340,2014-04-18,2014-04-22,Standard Class,BW-1110,OFF-IBI-10004916,Office Supplies,Binders,"Ibico Binder Covers, Recycled",14.01,1,0,5.16,0.57,Medium,VE_047
21062,IN-2013-37810,2013-08-31,2013-09-06,Standard Class,MG-18205,OFF-PA-10004444,Office Supplies,Paper,"SanDisk Note Cards, Premium",156.15,5,0,42.15,6.04,Medium,VE_005
48692,EG-2014-1110,2014-12-22,2014-12-23,First Class,RM-9375,OFF-AVE-10004310,Office Supplies,Labels,"Avery File Folder Labels, Alphabetical",17.88,2,0,5.88,4.26,Medium,VE_062
50051,TU-2013-6330,2013-12-27,2014-01-01,Second Class,BT-1440,OFF-STA-10003803,Office Supplies,Art,"Stanley Highlighters, Fluorescent",12.768,2,0.6,-7.392,0.88,Medium,VE_047
48761,SF-2013-70,2013-10-07,2013-10-11,Second Class,EL-3735,OFF-FEL-10004665,Office Supplies,Storage,"Fellowes Lockers, Blue",414.66,2,0,107.76,32.88,Medium,VE_026
25680,IN-2013-75106,2013-05-06,2013-05-10,Second Class,AH-10585,TEC-CO-10003951,Technology,Copiers,"HP Copy Machine, High-Speed",307.0494,2,0.37,-73.1106,24.12,Medium,VE_006
2611,US-2012-157588,2012-12-14,2012-12-18,Standard Class,RC-19825,OFF-BI-10004200,Office Supplies,Binders,"Ibico Binding Machine, Clear",101.76,5,0.4,-57.74,14.94,High,VE_006
33679,US-2014-117534,2014-03-26,2014-03-27,First Class,CV-12295,OFF-AP-10002403,Office Supplies,Appliances,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,176.04,4,0,45.7704,51.23,Critical,VE_005
41280,US-2013-157728,2013-09-23,2013-09-29,Standard Class,RC-19960,TEC-PH-10001305,Technology,Phones,Panasonic KX TS208W Corded phone,97.98,2,0,27.4344,4.73,Medium,VE_010
28067,IN-2014-14129,2014-04-22,2014-04-26,Second Class,CJ-11875,OFF-SU-10003834,Office Supplies,Supplies,"Stiletto Shears, High Speed",86.562,2,0.1,26.922,13.37,High,VE_037
41384,KZ-2014-8670,2014-06-25,2014-06-29,Standard Class,AP-720,FUR-NOV-10002333,Furniture,Chairs,"Novimex Steel Folding Chair, Black",47.88,2,0.7,-84.6,8.6,High,VE_053
41683,ZA-2013-530,2013-01-28,2013-01-31,Second Class,AR-345,FUR-HON-10001689,Furniture,Chairs,"Hon Executive Leather Armchair, Red",459.39,1,0,0,54.67,Medium,VE_023
42070,ZI-2014-7610,2014-03-24,2014-03-28,Standard Class,BS-1380,OFF-ADV-10000551,Office Supplies,Fasteners,"Advantus Thumb Tacks, Bulk Pack",4.077,1,0.7,-9.513,0.09,Medium,VE_060
16404,ES-2012-1706068,2012-10-30,2012-11-03,Standard Class,MS-17770,TEC-MA-10002771,Technology,Machines,"StarTech Inkjet, White",1494.6,5,0,657.6,99.16,High,VE_019
27640,ID-2011-69716,2011-06-07,2011-06-09,Second Class,DW-13585,OFF-ST-10003088,Office Supplies,Storage,"Fellowes Box, Wire Frame",31.125,2,0.17,-0.375,2.76,High,VE_037
15337,IT-2012-3985205,2012-06-09,2012-06-14,Second Class,DB-13615,OFF-BI-10003114,Office Supplies,Binders,"Ibico Hole Reinforcements, Economy",20.97,3,0,10.26,1.08,Medium,VE_021
15262,ES-2014-2538935,2014-01-16,2014-01-20,Standard Class,TN-21040,OFF-AR-10001759,Office Supplies,Art,"Sanford Sketch Pad, Fluorescent",93.48,2,0,43.92,6.37,Medium,VE_018
15405,ES-2013-4375143,2013-04-25,2013-04-27,Second Class,DM-12955,OFF-ST-10004996,Office Supplies,Storage,"Tenex Trays, Blue",130.104,3,0.2,1.584,23.09,High,VE_018
15804,ES-2014-2018081,2014-12-10,2014-12-14,Standard Class,WB-21850,OFF-BI-10000542,Office Supplies,Binders,"Wilson Jones 3-Hole Punch, Durable",88.47,3,0,18.54,2.37,Medium,VE_026
49344,EG-2013-6390,2013-07-01,2013-07-07,Standard Class,EJ-4155,TEC-KON-10002194,Technology,Machines,"Konica Printer, White",1065,4,0,319.44,43.31,Medium,VE_019
50673,CG-2014-6750,2014-03-06,2014-03-11,Second Class,PF-9120,OFF-STA-10000155,Office Supplies,Art,"Stanley Pencil Sharpener, Water Color",55.92,2,0,2.22,4.35,Medium,VE_060
14125,ES-2013-2963054,2013-12-25,2013-12-29,Standard Class,TT-21070,OFF-ST-10002539,Office Supplies,Storage,"Fellowes Shelving, Single Width",104.166,2,0.1,18.486,17.39,High,VE_017
29942,IN-2014-34842,2014-08-18,2014-08-23,Standard Class,DS-13030,OFF-AP-10002017,Office Supplies,Appliances,"Cuisinart Blender, Red",267.96,4,0,48.12,12.57,Medium,VE_030
40018,CA-2013-120824,2013-06-13,2013-06-17,Second Class,AW-10930,OFF-ST-10002562,Office Supplies,Storage,Staples,67.536,9,0.2,6.7536,2.49,Medium,VE_005
42064,MO-2012-4720,2012-12-12,2012-12-15,Second Class,JH-5910,OFF-STO-10002708,Office Supplies,Fasteners,"Stockwell Thumb Tacks, Bulk Pack",13.14,1,0,3.27,1.09,Medium,VE_062
22301,IN-2012-17783,2012-10-24,2012-10-29,Standard Class,AB-10165,TEC-PH-10001585,Technology,Phones,"Nokia Signal Booster, Cordless",1114.8,8,0,211.68,34.73,Medium,VE_006
27409,IN-2011-77885,2011-08-01,2011-08-06,Standard Class,JF-15565,FUR-BO-10003086,Furniture,Bookcases,"Safco Library with Doors, Traditional",253.3635,1,0.35,-35.0865,10,Medium,VE_023
15592,IT-2012-5640548,2012-07-25,2012-07-30,Standard Class,RS-19420,OFF-SU-10001879,Office Supplies,Supplies,"Acme Trimmer, High Speed",66.87,3,0.5,-28.17,3.21,Medium,VE_017
5251,MX-2013-135916,2013-01-18,2013-01-18,Same Day,MC-17590,OFF-AP-10000667,Office Supplies,Appliances,"Breville Stove, White",1119.36,3,0,22.38,164.45,Medium,VE_006
